po_number,order_date,part_number,part_family,complexity,supplier_id,quantity_ordered,total_value,nominal_lead_time,actual_lead_time,on_time_to_commit,external_factors,critical_part
PO_000001,2022-04-01,CONS_0690,Consumables,Low,SUP_CONS_001,1493,10852.45,6,11,True,Semiconductor_Shortage,True
PO_000002,2022-10-31,CAST_0321,Castings,Low,SUP_CAST_001,72,5815.09,38,47,True,None,False
PO_000003,2022-03-02,CONS_0700,Consumables,Low,SUP_CONS_003,1533,26713.5,3,3,False,Semiconductor_Shortage,True
PO_000004,2022-06-05,LIGH_0403,Lights,High,SUP_LIGHT_003,17,6857.8,76,155,False,Semiconductor_Shortage,False
PO_000005,2022-05-06,CABL_0300,Cables,Low,SUP_CABLE_001,77,5301.51,17,37,False,Semiconductor_Shortage,False
PO_000006,2022-12-29,LIGH_0419,Lights,Medium,SUP_LIGHT_002,1,443.65,32,54,True,Semiconductor_Shortage,False
PO_000007,2022-01-20,LIGH_0422,Lights,Medium,SUP_LIGHT_002,2,502.53,56,138,False,"Chinese_New_Year,Semiconductor_Shortage",False
PO_000008,2023-10-19,FORG_0353,Forgings,Low,SUP_FORG_002,32,8605.57,36,32,False,None,False
PO_000009,2023-12-10,MACH_0002,Machined_Parts,Low,SUP_MACH_004,38,2829.22,26,30,True,Tariff_Impact,False
PO_000010,2024-05-05,ASSE_0451,Assembled_Kits,Low,SUP_ASSY_001,42,19922.79,68,69,True,None,False
PO_000011,2022-09-07,CAST_0314,Castings,Low,SUP_CAST_001,2,1592.78,30,57,True,Semiconductor_Shortage,False
PO_000012,2024-09-10,ELEC_0177,Electronics_Components,Medium,SUP_ELEC_005,35,503.02,63,55,False,None,False
PO_000013,2023-09-27,ELEC_0209,Electronics_Components,Medium,SUP_ELEC_003,11,865.52,76,161,False,Semiconductor_Shortage,False
PO_000014,2023-04-13,CONS_0566,Consumables,Medium,SUP_CONS_003,1491,8562.39,5,12,False,Semiconductor_Shortage,False
PO_000015,2024-08-16,ELEC_0138,Electronics_Components,Medium,SUP_ELEC_001,15,859.86,55,60,False,None,False
PO_000016,2022-05-30,LIGH_0443,Lights,Low,SUP_LIGHT_002,37,9296.91,28,30,True,None,False
PO_000017,2024-09-23,CONS_0565,Consumables,Medium,SUP_CONS_002,377,7301.55,9,8,True,None,False
